Temperatura de equilibrio (K),Masa estelar (M☉),koi_disposition
565.0,1.233,CONFIRMED
675.0,0.907,CONFIRMED
419.0,0.513,CONFIRMED
321.0,1.041,CANDIDATE
364.0,0.824,CANDIDATE
485.0,0.819,CONFIRMED
697.0,0.769,CANDIDATE
815.0,1.04,CONFIRMED
640.0,0.838,CONFIRMED
1187.0,1.225,CONFIRMED
545.0,1.213,CANDIDATE
850.0,0.882,CONFIRMED
446.0,0.56,CONFIRMED
671.0,0.882,CONFIRMED
437.0,1.294,CANDIDATE
489.0,0.963,CONFIRMED
1197.0,1.04,CONFIRMED
570.0,1.04,CONFIRMED
960.0,1.032,CONFIRMED
797.0,0.555,CANDIDATE
742.0,1.047,CANDIDATE
996.0,0.946,CONFIRMED
824.0,1.009,CONFIRMED
178.0,0.753,CONFIRMED
543.0,1.012,CONFIRMED
634.0,0.914,CONFIRMED
760.0,0.914,CONFIRMED
554.0,1.613,CONFIRMED
920.0,1.017,CONFIRMED
799.0,1.017,CONFIRMED
583.0,1.017,CONFIRMED
1212.0,1.017,CONFIRMED
875.0,0.983,CONFIRMED
649.0,0.84,CONFIRMED
895.0,1.006,CONFIRMED
1087.0,1.006,CONFIRMED
512.0,0.503,CANDIDATE
634.0,0.726,CONFIRMED
238.0,1.136,CANDIDATE
251.0,0.806,CANDIDATE
939.0,1.246,CONFIRMED
511.0,1.101,CONFIRMED
588.0,0.793,CONFIRMED
786.0,0.921,CONFIRMED
484.0,0.793,CONFIRMED
817.0,0.793,CONFIRMED
717.0,0.793,CONFIRMED
1215.0,0.879,CONFIRMED
1239.0,0.899,CONFIRMED
527.0,0.899,CANDIDATE
663.0,0.899,CANDIDATE
1277.0,1.0,CONFIRMED
955.0,0.916,CONFIRMED
682.0,0.884,CANDIDATE
965.0,1.101,CONFIRMED
382.0,0.559,CONFIRMED
852.0,1.005,CONFIRMED
1177.0,0.875,CONFIRMED
964.0,1.179,CONFIRMED
779.0,0.946,CONFIRMED
890.0,0.946,CONFIRMED
462.0,0.939,CONFIRMED
743.0,1.081,CONFIRMED
1489.0,1.032,CONFIRMED
1231.0,1.091,CONFIRMED
1270.0,0.868,CONFIRMED
981.0,0.868,CONFIRMED
378.0,0.479,CONFIRMED
1312.0,1.224,CONFIRMED
921.0,1.253,CONFIRMED
869.0,1.069,CONFIRMED
420.0,0.551,CONFIRMED
778.0,1.179,CONFIRMED
952.0,1.195,CONFIRMED
580.0,0.911,CONFIRMED
628.0,0.768,CONFIRMED
1089.0,0.907,CONFIRMED
653.0,0.921,CONFIRMED
1305.0,0.972,CONFIRMED
701.0,0.727,CONFIRMED
777.0,1.088,CONFIRMED
626.0,1.196,CONFIRMED
741.0,0.8,CONFIRMED
621.0,0.8,CONFIRMED
533.0,0.8,CONFIRMED
1109.0,0.943,CONFIRMED
836.0,1.414,CONFIRMED
702.0,1.414,CONFIRMED
418.0,1.116,CONFIRMED
394.0,0.998,CONFIRMED
607.0,0.998,CONFIRMED
1008.0,1.036,CONFIRMED
1408.0,0.959,CONFIRMED
827.0,0.541,CANDIDATE
775.0,0.768,CONFIRMED
1356.0,1.047,CONFIRMED
582.0,0.921,CONFIRMED
574.0,1.017,CONFIRMED
1124.0,0.925,CANDIDATE
744.0,0.799,CONFIRMED
980.0,0.878,CONFIRMED
585.0,0.755,CANDIDATE
157.0,1.059,CANDIDATE
446.0,0.394,CONFIRMED
297.0,0.394,CONFIRMED
896.0,1.036,CONFIRMED
488.0,0.596,CONFIRMED
240.0,0.596,CONFIRMED
812.0,1.352,CONFIRMED
1322.0,0.526,CONFIRMED
686.0,0.875,CONFIRMED
643.0,0.799,CONFIRMED
860.0,0.799,CONFIRMED
997.0,0.799,CONFIRMED
532.0,0.886,CONFIRMED
376.0,0.886,CANDIDATE
363.0,0.394,CONFIRMED
416.0,0.945,CONFIRMED
1252.0,0.778,CONFIRMED
1523.0,0.965,CONFIRMED
509.0,0.846,CONFIRMED
774.0,1.164,CONFIRMED
1104.0,1.164,CONFIRMED
574.0,1.097,CONFIRMED
605.0,1.075,CONFIRMED
478.0,0.875,CONFIRMED
478.0,1.05,CONFIRMED
513.0,0.921,CONFIRMED
584.0,0.911,CANDIDATE
1105.0,1.045,CONFIRMED
1028.0,1.035,CONFIRMED
1332.0,1.058,CONFIRMED
837.0,0.587,CONFIRMED
406.0,0.915,CONFIRMED
879.0,0.817,CONFIRMED
867.0,1.034,CONFIRMED
495.0,0.964,CONFIRMED
966.0,0.849,CONFIRMED
583.0,0.86,CONFIRMED
1097.0,0.797,CONFIRMED
875.0,0.76,CONFIRMED
611.0,0.76,CONFIRMED
746.0,0.76,CONFIRMED
766.0,0.952,CONFIRMED
1137.0,0.76,CONFIRMED
928.0,0.961,CONFIRMED
960.0,0.974,CONFIRMED
744.0,0.974,CONFIRMED
537.0,1.004,CONFIRMED
393.0,0.887,CONFIRMED
544.0,0.933,CONFIRMED
996.0,0.937,CONFIRMED
692.0,0.92,CONFIRMED
486.0,1.072,CONFIRMED
672.0,0.734,CONFIRMED
718.0,0.995,CONFIRMED
352.0,0.686,CONFIRMED
575.0,0.886,CANDIDATE
1561.0,1.016,CONFIRMED
879.0,0.974,CONFIRMED
982.0,0.883,CONFIRMED
1783.0,1.122,CONFIRMED
722.0,0.986,CONFIRMED
393.0,0.452,CONFIRMED
379.0,0.817,CONFIRMED
455.0,0.907,CONFIRMED
1143.0,1.27,CONFIRMED
1532.0,1.27,CONFIRMED
694.0,0.782,CONFIRMED
1780.0,0.782,CANDIDATE
914.0,0.782,CONFIRMED
836.0,0.823,CONFIRMED
728.0,0.823,CONFIRMED
1000.0,0.823,CONFIRMED
576.0,0.823,CONFIRMED
852.0,1.113,CONFIRMED
1752.0,1.326,CONFIRMED
487.0,0.671,CANDIDATE
931.0,1.197,CONFIRMED
765.0,1.774,CANDIDATE
1218.0,0.808,CONFIRMED
1014.0,0.776,CANDIDATE
459.0,0.865,CONFIRMED
513.0,0.591,CANDIDATE
616.0,1.173,CONFIRMED
996.0,0.706,CONFIRMED
327.0,0.916,CONFIRMED
486.0,1.114,CONFIRMED
716.0,0.774,CONFIRMED
830.0,0.774,CONFIRMED
1129.0,1.294,CONFIRMED
1357.0,1.294,CONFIRMED
754.0,1.226,CONFIRMED
459.0,0.74,CONFIRMED
1192.0,1.1,CONFIRMED
962.0,0.91,CONFIRMED
857.0,0.962,CONFIRMED
573.0,1.021,CONFIRMED
841.0,0.928,CONFIRMED
1047.0,0.996,CONFIRMED
494.0,0.925,CONFIRMED
691.0,1.063,CONFIRMED
640.0,1.065,CONFIRMED
535.0,0.774,CONFIRMED
390.0,0.774,CONFIRMED
556.0,0.738,CONFIRMED
1034.0,1.132,CONFIRMED
744.0,0.936,CANDIDATE
1319.0,1.148,CONFIRMED
503.0,0.854,CONFIRMED
991.0,0.833,CONFIRMED
966.0,1.092,CANDIDATE
601.0,0.677,CANDIDATE
329.0,0.626,CANDIDATE
1028.0,1.148,CONFIRMED
1455.0,0.808,CANDIDATE
1230.0,0.949,CONFIRMED
755.0,1.296,CONFIRMED
896.0,1.063,CONFIRMED
631.0,1.003,CONFIRMED
956.0,1.003,CANDIDATE
1052.0,1.038,CONFIRMED
869.0,1.025,CONFIRMED
954.0,0.76,CONFIRMED
782.0,0.817,CONFIRMED
582.0,0.817,CONFIRMED
1303.0,1.07,CONFIRMED
933.0,1.24,CONFIRMED
802.0,0.505,CONFIRMED
521.0,0.505,CONFIRMED
749.0,1.157,CONFIRMED
560.0,0.924,CONFIRMED
476.0,0.969,CONFIRMED
401.0,0.969,CONFIRMED
1285.0,0.969,CANDIDATE
797.0,0.947,CONFIRMED
883.0,1.066,CONFIRMED
683.0,1.066,CONFIRMED
1046.0,0.964,CANDIDATE
480.0,0.821,CONFIRMED
613.0,0.573,CONFIRMED
930.0,0.953,CANDIDATE
976.0,0.865,CONFIRMED
837.0,0.865,CONFIRMED
569.0,0.977,CONFIRMED
923.0,0.83,CONFIRMED
632.0,0.859,CONFIRMED
501.0,0.891,CONFIRMED
669.0,0.94,CONFIRMED
739.0,0.947,CONFIRMED
1265.0,0.859,CONFIRMED
653.0,0.983,CANDIDATE
771.0,0.595,CONFIRMED
907.0,0.856,CONFIRMED
492.0,1.014,CONFIRMED
1876.0,0.906,CONFIRMED
570.0,1.173,CANDIDATE
1185.0,0.882,CONFIRMED
1039.0,1.051,CONFIRMED
762.0,1.051,CONFIRMED
689.0,0.822,CONFIRMED
949.0,0.822,CONFIRMED
580.0,0.974,CONFIRMED
1622.0,1.714,CONFIRMED
1217.0,1.135,CONFIRMED
515.0,0.877,CONFIRMED
303.0,0.877,CONFIRMED
353.0,0.926,CANDIDATE
855.0,0.942,CONFIRMED
616.0,0.624,CONFIRMED
662.0,0.874,CONFIRMED
714.0,1.298,CONFIRMED
537.0,0.978,CANDIDATE
898.0,1.133,CANDIDATE
964.0,1.123,CONFIRMED
283.0,0.863,CANDIDATE
903.0,0.765,CONFIRMED
752.0,1.066,CONFIRMED
864.0,1.066,CONFIRMED
818.0,0.93,CONFIRMED
640.0,0.979,CONFIRMED
716.0,0.86,CONFIRMED
402.0,0.808,CANDIDATE
704.0,0.578,CONFIRMED
1104.0,1.01,CONFIRMED
1112.0,1.208,CANDIDATE
610.0,1.358,CONFIRMED
394.0,0.683,CONFIRMED
681.0,0.907,CANDIDATE
799.0,0.947,CANDIDATE
214.0,0.755,CANDIDATE
964.0,0.986,CONFIRMED
830.0,1.194,CONFIRMED
1111.0,1.026,CONFIRMED
785.0,1.157,CONFIRMED
985.0,0.987,CONFIRMED
865.0,0.987,CONFIRMED
672.0,0.987,CONFIRMED
1254.0,0.987,CONFIRMED
572.0,0.987,CONFIRMED
524.0,1.008,CONFIRMED
1226.0,0.874,CONFIRMED
445.0,0.45,CANDIDATE
906.0,1.039,CONFIRMED
746.0,0.813,CONFIRMED
721.0,1.065,CONFIRMED
1089.0,1.157,CONFIRMED
417.0,0.94,CONFIRMED
1328.0,1.132,CONFIRMED
1144.0,1.156,CANDIDATE
620.0,0.781,CANDIDATE
595.0,0.895,CANDIDATE
